,Network TV,Spot TV,SLN TV,Cable TV,Syndication,Magazines,Sunday Mags,Local Mags,Hispanic Mags,B-to-B,Natl Newsp,Newspapers,Hispanic Newsp,Network Radio,Natl Spot Radio,Cinema,Int Display,Mobile Web (from Apr 2015),Mobile App,Online Video,Int Search,Outdoor,GRAND TOTAL,date,mmyy,val_EMA
2,2283472.1,1245766.4,269588.5,1379213.1,322826.3,983026.0,144734.2,25333.0,2716.6,219550.3,175748.2,1232785.4,19023.2,69856.2,128090.2,0.0,845338.9,0.0,0,0.0,799086.6,235192.4,10381347.5,JAN 2010  DOLS (000),2010-Jan,10381347.5
3,2364690.2,1383482.0,257865.2,1422210.9,297896.2,1268429.0,149801.1,22538.3,4000.1,212876.5,176798.5,1101247.7,19301.7,68957.2,125561.4,0.0,776372.8,0.0,0,0.0,986037.7,245273.2,10883339.6,FEB 2010  DOLS (000),2010-Feb,10405834.919512196
4,2210442.2,1278998.8,271739.1,1749821.8,333494.2,1795624.0,158629.6,29534.6,5001.4,252364.9,235587.4,1258466.7,22539.8,76883.1,143107.7,0.0,842918.8,0.0,0,0.0,1076884.4,303950.9,12045989.3,MAR 2010  DOLS (000),2010-Mar,10485842.450267699
5,2052522.5,1240230.8,296231.3,1655873.1,321717.3,1674933.6,143872.5,25856.7,7324.4,238711.1,201851.5,1181266.6,20804.2,71226.1,136539.5,0.0,860617.8,0.0,0,0.0,1103413.5,288086.5,11521078.9,APR 2010  DOLS (000),2010-Apr,10536341.78927903
6,2122564.9,1261490.1,318922.8,1820155.4,331236.2,1861555.1,191584.0,27941.4,5583.6,247840.4,192778.4,1316416.0,23001.4,86642.1,198136.6,0.0,778196.2,0.0,0,0.0,1149793.7,329486.8,12263325.2,MAY 2010  DOLS (000),2010-May,10620584.882484931
7,1359052.7,1325883.3,415511.4,1802726.4,323330.8,1685435.0,128230.4,25962.1,6574.5,243422.6,216749.3,1169753.3,22587.5,64862.4,159639.8,0.0,927101.1,0.0,0,0.0,1133074.1,313049.9,11322946.6,JUN 2010  DOLS (000),2010-Jun,10654846.429680789
8,1201967.6,1392642.3,344573.4,1577157.3,340379.7,1311761.0,108253.5,22659.2,4288.5,195352.1,155805.7,1135491.6,20584.5,61032.0,140817.0,0.0,742930.7,0.0,0,0.0,1212486.6,322918.8,10291101.4,JUL 2010  DOLS (000),2010-Jul,10637102.76969636
9,1212604.8,1560714.8,303360.8,1749957.1,324510.4,1302200.1,143694.9,27037.3,5168.9,203401.7,152160.6,1215182.0,21071.0,81157.3,183368.7,0.0,720344.3,0.0,0,0.0,1250959.6,352368.9,10809263.0,AUG 2010  DOLS (000),2010-Aug,10645500.82971117
10,1823972.7,1665947.0,288181.1,1983752.1,344950.4,2175792.9,173012.3,30546.4,7286.2,268046.5,228565.4,1291221.5,21999.4,80900.3,180476.9,0.0,821392.1,0.0,0,0.0,1080245.4,334943.8,12801232.3,SEP 2010  DOLS (000),2010-Sep,10750658.462408185
11,2288299.1,1773726.8,305481.4,2022963.0,385851.0,2027518.1,197923.9,30124.2,7985.4,273683.4,246387.0,1496606.7,24284.3,97123.2,261194.2,0.0,849623.4,0.0,0,0.0,1213666.3,345094.2,13847535.6,OCT 2010  DOLS (000),2010-Oct,10901725.639851687
12,2191674.9,1650704.4,319567.1,2233884.5,387760.7,2028646.2,188670.0,33477.5,6589.6,276587.0,266407.2,1460712.8,23196.4,73101.9,176580.5,0.0,1010381.4,0.0,0,0.0,1019025.5,385786.9,13732754.4,NOV 2010  DOLS (000),2010-Nov,11039824.603761362
13,1825651.7,1678513.2,307020.6,2014699.2,397139.9,1963337.8,170087.6,34220.6,4734.6,235053.8,252179.0,1429225.0,21393.8,77229.3,154171.5,0.0,973976.9,0.0,0,0.0,1331615.7,313993.9,13184244.1,DEC 2010  DOLS (000),2010-Dec,11144430.432846174
14,2036279.7,1312146.7,254528.8,1774881.1,370719.2,1094749.7,155375.5,24735.3,4602.6,228982.2,159958.9,1197302.7,17976.0,74570.7,113904.4,0.0,1082803.1,0.0,0,0.0,1302196.3,294451.2,11500164.1,JAN 2011  DOLS (000),2011-Jan,11161783.294658555
15,1948663.2,1260638.9,253549.7,1570136.9,345115.2,1354086.8,133629.2,23038.6,3487.6,220456.9,178093.1,1123740.1,17942.7,65608.2,126304.9,0.0,945926.8,0.0,0,0.0,1057976.0,278799.6,10907194.3,FEB 2011  DOLS (000),2011-Feb,11149364.319309356
