,JobCode,deptcount,srhrs,midhrs,jrhrs,totalhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
381,10801903,4,3.25,7,0,10.25,1,7,47,69,5,4,1
159,10864044,1,1,9.5,0,10.5,1,17,90,35,2,4,1
446,A6229,2,0,0,10.5,10.5,1,2,4,8,3,0,0
478,10890042,2,0,6,4.5,10.5,1,11,30,32,3,4,0
552,10801896,6,5.75,5,0,10.75,1,26,33,108,9,5,1
201,10833318,2,1,1,8.75,10.75,1,6,29,72,5,5,0
921,10848731,1,0,8.75,2,10.75,1,15,30,35,3,7,0
12,A6446,5,11,0,0,11,2,3,35,14,6,0,0
1739,J6497,7,7,1,3,11,1,53,199,521,13,0,1
778,A7513,2,2,5,4,11,1,8,33,57,5,5,0
986,10874822,2,0,7,4,11,1,3,70,38,2,4,0
1030,A6574,1,0,11,0,11,1,4,38,3,1,0,1
511,10832945,3,0,11,0,11,2,2,86,19,4,7,1
123,D5148,10,11.25,0,0,11.25,2,1,60,87,15,14,1
41,10865165,2,11.25,0,0,11.25,2,6,142,48,3,4,0
1371,A7558,3,4.25,7,0,11.25,1,6,38,121,5,5,1
33,10878171,2,11.5,0,0,11.5,1,0,4,10,3,11,1
51,10805192,4,1,0,10.5,11.5,1,17,69,98,7,6,0
601,A6420,2,8,3.75,0,11.75,1,6,53,75,5,0,0
951,C6888,6,6,5.75,0,11.75,1,30,127,276,10,0,1
1246,B6664,2,0,4.25,7.5,11.75,2,7,35,82,4,0,0
1372,F9665H,2,0,0,11.75,11.75,2,0,59,5,2,6,1
803,10862585,4,0,11.75,0,11.75,1,1,24,62,6,5,0
2,A6628,2,12,0,0,12,2,11,79,23,2,0,1
1376,10843255,2,4,0,8,12,1,1,19,58,4,4,0
727,C6771,3,2,10,0,12,1,2,8,24,4,4,0
503,C6793,4,0,2,10,12,2,6,57,69,7,0,1
509,B6110,2,0,0,12,12,1,0,40,22,3,6,0
495,10829478,2,0,0,12,12,2,0,19,5,2,4,0
570,10847064,3,0,12,0,12,1,0,50,23,3,4,0
1383,10804659,1,0,0,12,12,1,3,36,17,2,5,0
1422,B7018,2,0,0,12,12,2,2,21,17,3,4,0
1691,A7691,4,0,4,8,12,1,1,9,13,6,7,0
505,A6226,2,0,0,12.25,12.25,2,0,14,75,5,0,0
1338,A7910,2,8.5,2,2,12.5,2,56,137,60,5,6,0
1405,B6036,4,6,1,5.5,12.5,1,0,2,12,5,0,0
6,10821006,3,13,0,0,13,1,4,16,6,5,6,1
36,10883732,2,13,0,0,13,1,10,25,5,2,6,1
37,10898269,2,13,0,0,13,1,6,60,17,2,4,1
594,10873963,4,4,9,0,13,1,30,79,24,6,5,1
1505,B6499,3,1,3,9,13,1,21,45,41,5,4,0
764,B6792,2,0,13,0,13,3,0,17,22,5,5,0
454,10843484,3,0,5,8,13,1,0,18,40,4,4,0
1155,M5190,3,7.75,2.75,3,13.5,1,68,281,224,6,5,1
694,B6284,2,3,10.5,0,13.5,1,44,213,122,4,4,0
48,M5275,1,1.25,12.25,0,13.5,1,12,23,45,5,4,1
877,C6499,2,1,12.5,0,13.5,1,1,90,94,4,4,0
1047,10804859,3,0,6.5,7,13.5,1,14,29,13,3,5,0
423,D6332,3,3.5,8,2.25,13.75,1,15,46,63,7,4,1
312,B6417,4,14,0,0,14,1,4,29,40,4,0,1
23,10866847,2,14,0,0,14,1,5,418,44,3,9,0
349,10819843,3,14,0,0,14,1,15,98,45,4,4,1
1465,C6414,3,12,0,2,14,1,5,11,55,6,4,1
111,10836179,2,12,2,0,14,1,2,46,29,2,6,1
178,10873433,1,9,5,0,14,2,25,81,22,3,6,1
590,C6425,4,2.5,11.5,0,14,1,24,67,81,5,5,1
345,10817343,2,2,12,0,14,1,0,6,11,4,4,0
526,B6075,2,0,14,0,14,1,0,4,24,4,7,0
780,A6555,3,0,14,0,14,1,0,6,39,5,4,1
1046,A6990,2,0,0,14,14,1,0,8,13,2,5,0
1799,K7479,3,0,0,14,14,2,12,180,51,3,4,0
630,10808754,1,0,14,0,14,1,0,10,8,1,4,0
693,10804330,2,0,14.25,0,14.25,1,3,25,9,2,5,0
1254,10804187,1,0,0,14.25,14.25,1,1,28,49,3,5,0
238,B7341,4,14.5,0,0,14.5,2,0,9,48,6,4,0
601,A7767,3,3.5,11,0,14.5,1,3,18,74,7,8,1
88,B7019,3,1,7,6.5,14.5,1,3,25,26,4,4,0
474,A6339,6,0,0,14.5,14.5,1,35,90,73,7,0,0
1645,A7239,5,0,4,10.5,14.5,1,0,41,44,9,4,0
1356,10843296,4,2.25,0,12.5,14.75,1,15,30,121,10,6,0
435,10857799,2,0,0,14.75,14.75,1,0,224,43,2,8,1
11,10804183,1,15,0,0,15,1,1,15,8,2,7,0
412,A7190,5,6.5,8.5,0,15,1,24,99,182,7,10,1
841,S7039,1,0,10.5,4.5,15,2,1,37,45,3,4,1
1481,C6760,2,0,0,15,15,2,6,16,34,6,4,0
1829,C6133,3,0,0,15,15,1,2,127,74,6,4,0
940,10874857,2,0,2,13,15,1,2,16,34,4,4,0
302,M5245,1,15,0.25,0,15.25,1,2,83,59,2,4,0
183,N8578,4,5.5,10,0,15.5,2,0,9,44,5,4,0
1368,10804048,1,0,14,1.5,15.5,1,2,41,58,4,4,0
14,10804841,8,16,0,0,16,3,31,354,235,17,0,0
371,10804588,2,16,0,0,16,1,5,61,39,3,4,1
1617,10816769,3,10,2,4,16,1,33,234,39,7,4,1
19,A6894,4,6,0,10,16,1,2,15,26,5,5,0
670,10804633,3,6,10,0,16,1,0,7,3,4,5,0
532,10846483,3,0.5,15.5,0,16,1,10,63,95,7,5,0
458,B6155,2,0,16,0,16,1,0,8,9,2,5,1
468,S5520,1,0,15,1,16,1,6,54,38,2,5,0
457,A7610,2,0,16,0,16,1,3,29,6,2,5,1
537,10859262,2,0,16,0,16,1,0,65,23,3,7,1
1338,10864476,4,0,8,8,16,1,6,45,111,8,4,1
1503,B7110,2,0,0,16,16,2,1,17,12,2,5,0
37,J6567,8,12.25,0,4,16.25,5,24,81,78,13,8,1
1378,B6802,4,2.5,0,14,16.5,1,3,12,107,9,6,0
1671,D6325,6,5.75,10,1,16.75,1,69,76,175,12,8,1
10,B6920,5,17,0,0,17,2,0,4,10,6,4,1
40,B6415,2,17,0,0,17,2,3,10,17,2,7,0
1252,10803826,6,6,3,8,17,1,9,26,101,12,4,1
1332,10804436,5,1,10,6,17,1,2,4,23,7,4,0
