JobCode,deptcount,srhrs,midhrs,jrhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
A6229,2,0,0,10.5,1,2,4,8,3,0,0
A6446,5,11,0,0,2,3,35,14,6,0,0
10874822,2,0,7,4,1,3,70,38,2,4,0
A6574,1,0,11,0,1,4,38,3,1,0,1
J6497,7,7,1,3,1,53,199,521,13,0,1
D5148,10,11.25,0,0,2,1,60,87,15,14,1
A6420,2,8,3.75,0,1,6,53,75,5,0,0
C6888,6,6,5.75,0,1,30,127,276,10,0,1
B6664,2,0,4.25,7.5,2,7,35,82,4,0,0
F9665H,2,0,0,11.75,2,0,59,5,2,6,1
A6628,2,12,0,0,2,11,79,23,2,0,1
C6793,4,0,2,10,2,6,57,69,7,0,1
B6110,2,0,0,12,1,0,40,22,3,6,0
C6771,3,2,10,0,1,2,8,24,4,4,0
A6226,2,0,0,12.25,2,0,14,75,5,0,0
A7910,2,8.5,2,2,2,56,137,60,5,6,0
B6036,4,6,1,5.5,1,0,2,12,5,0,0
B6792,2,0,13,0,3,0,17,22,5,5,0
B6499,3,1,3,9,1,21,45,41,5,4,0
M5275,1,1.25,12.25,0,1,12,23,45,5,4,1
B6284,2,3,10.5,0,1,44,213,122,4,4,0
C6499,2,1,12.5,0,1,1,90,94,4,4,0
M5190,3,7.75,2.75,3,1,68,281,224,6,5,1
D6332,3,3.5,8,2.25,1,15,46,63,7,4,1
B6417,4,14,0,0,1,4,29,40,4,0,1
B6075,2,0,14,0,1,0,4,24,4,7,0
C6425,4,2.5,11.5,0,1,24,67,81,5,5,1
A6555,3,0,14,0,1,0,6,39,5,4,1
A6990,2,0,0,14,1,0,8,13,2,5,0
C6414,3,12,0,2,1,5,11,55,6,4,1
K7479,3,0,0,14,2,12,180,51,3,4,0
A6339,6,0,0,14.5,1,35,90,73,7,0,0
10804183,1,15,0,0,1,1,15,8,2,7,0
S7039,1,0,10.5,4.5,2,1,37,45,3,4,1
C6760,2,0,0,15,2,6,16,34,6,4,0
C6133,3,0,0,15,1,2,127,74,6,4,0
M5245,1,15,0.25,0,1,2,83,59,2,4,0
A6894,4,6,0,10,1,2,15,26,5,5,0
B6155,2,0,16,0,1,0,8,9,2,5,1
S5520,1,0,15,1,1,6,54,38,2,5,0
J6567,8,12.25,0,4,5,24,81,78,13,8,1
B6802,4,2.5,0,14,1,3,12,107,9,6,0
D6325,6,5.75,10,1,1,69,76,175,12,8,1
B6920,5,17,0,0,2,0,4,10,6,4,1
B6415,2,17,0,0,2,3,10,17,2,7,0
S5558,1,0,0,17,1,19,47,23,2,4,1
K7531,4,0,0,18,1,4,59,49,4,4,1
B6700,4,0,18,0,1,5,13,44,6,4,0
B6584,2,0,0,18,1,10,43,22,2,4,0
C6353,2,0,9,9.75,1,11,28,43,5,4,0
J6701,6,11,7.5,0.5,2,20,57,271,12,0,1
C6963,5,5,9.5,4.5,1,9,14,45,8,5,0
C6752,3,5,14.5,0,1,15,41,58,7,0,1
C6196,4,2,17.5,0,1,12,59,106,7,4,1
D6333,5,6,2.5,11,1,9,24,28,6,8,0
A6325,2,20,0,0,2,2,35,21,2,6,0
B6409,3,2,3.5,14.5,1,5,15,15,3,5,0
A6732,2,0,20,0,1,18,74,9,2,0,0
C6227,2,0,20,0,1,0,60,11,3,6,1
B6968,1,0,1.25,19,1,0,18,17,4,4,1
J6661,3,8.5,12,0,1,0,31,40,6,5,1
A6939,4,3,0,18,1,3,9,16,5,0,0
B6847,1,5,16,0,1,2,26,5,2,5,0
B6298,3,9.5,11.5,0,1,5,63,49,5,5,1
B6446,3,1,1,19,1,3,11,60,11,4,1
A6566,3,6.5,15,0,2,2,21,29,4,4,0
B6180,4,8,6,7.5,1,24,62,102,7,5,1
A6869,2,0,21.5,0,1,0,15,37,5,8,0
A6563,3,10,11.5,0,2,2,55,41,6,0,1
C6819,4,21.75,0,0,1,9,46,103,5,0,1
B6293,1,22,0,0,1,0,9,7,1,5,0
S5609,3,0,0,22,1,11,28,34,5,5,1
A6497,4,2.75,17.5,2,1,2,52,184,8,5,0
M5168,1,0,23,0,1,28,133,219,11,11,0
S8305,1,0,23,0,1,3,40,7,1,13,1
10804447,2,0,10,13,1,84,252,92,5,4,0
A6567,2,0,15,8,2,0,25,10,2,5,0
S5423,2,0,0.5,23,1,14,90,93,6,4,0
A6502,7,12.25,9.5,2,1,53,92,213,12,4,0
A6425,7,24,0,0,1,0,32,104,11,4,0
C6432,3,0,24,0,1,1,26,20,3,4,0
S5660,3,5,0,19,1,31,81,82,5,4,0
D5237,2,2.25,22,0,2,22,120,142,4,0,0
M5282,1,3,6,15.25,1,9,52,92,6,4,0
D6269,3,7.5,1.75,15,1,7,14,35,6,5,0
C6422,3,0,24.5,0,1,7,62,110,7,8,1
B6932,4,1,13.5,10,1,7,37,84,7,4,0
M7144,3,0,0,24.75,1,17,147,70,4,5,0
A6693,9,12,5,8,1,0,28,52,10,0,0
A6217,3,0,25,0,1,3,41,20,4,0,0
M5180,3,0,24.25,1,1,23,131,207,7,6,1
B6590,4,5.5,20,0,2,13,39,45,5,5,0
B6433,2,26,0,0,1,0,19,5,2,4,0
B6478,1,26,0,0,1,0,11,2,2,6,1
B6890,5,7.5,18.5,0,1,11,44,26,6,0,1
B6587,2,1,13,12,1,48,126,26,5,8,0
A6644,8,9.5,9,8,2,4,17,111,13,0,1
A6227,2,0,2.75,24,1,1,14,69,4,0,0
A6309,3,21,2,4,2,6,39,23,4,0,0
S5659,3,5,0,22,1,31,81,82,5,4,0
A6809,3,2,0,25,1,6,88,151,8,5,0
C6720,7,0,11,16,3,15,45,138,17,4,0
K7528,4,3.5,24,0.25,1,24,83,59,6,4,0
B6891,2,28,0,0,1,2,9,2,3,0,0
B6297,3,2,20,6,2,3,63,79,8,5,0
C6058,5,9,6,13.5,1,2,8,32,8,10,1
B6399,3,17,12,0,2,53,142,246,7,0,0
B6718,4,0,27,2,1,0,6,21,5,4,1
S5600,3,2.5,25.5,1,1,51,214,165,8,4,1
C6621,4,29.5,0,0,2,0,10,15,5,4,0
M9143,2,0,29.5,0,2,4,25,93,9,0,1
C6388,4,6,1,22.5,3,11,71,148,8,10,0
S5397,1,4,0,25.5,1,5,70,59,2,4,0
B6551,3,8.75,21,0,2,9,35,109,6,4,0
A6782,5,2,0,28,1,28,109,108,9,0,0
D5185,2,30,0,0,1,6,25,4,2,4,1
C6951,3,2.5,27.5,0,1,2,9,24,5,4,1
D6077,4,14,16,0,1,3,25,34,5,5,1
B6708,4,22,8,0,1,8,9,14,6,0,1
B6401,2,0,10,20,1,0,7,23,4,4,1
S5685,3,2,2,26,1,40,51,58,5,6,1
C6396,4,11,20,0,2,39,114,111,11,0,0
H9158R,2,0,31,0,1,0,77,6,2,4,1
D6034,2,0,23,8,1,4,54,25,2,5,1
A6841,4,7.75,15.5,8,1,34,143,262,7,5,1
D6189,4,0.5,0,31,1,5,18,31,7,7,1
C6780,2,0,2.5,29,1,0,12,11,3,5,0
A6700,5,7,0,25,1,1,23,40,7,0,1
B6078,3,20.5,12,0,2,4,30,42,6,0,0
B6145,6,9.25,13,10.5,1,3,9,81,13,4,1
J6551,4,22,8,3,1,2,25,14,5,5,1
j6558,3,6,2,25,1,13,61,45,7,5,0
M8125,3,3,29.25,1,4,5,24,63,6,5,0
A6712,4,33.5,0,0,1,8,57,61,4,0,1
J6589,8,4.5,2,27,2,29,173,184,16,6,1
C6001,2,0,0,34,2,1,8,10,3,0,0
A6491,6,30,3,1,1,11,65,54,6,7,0
D6239,3,12,0,22.5,1,1,12,12,4,6,1
A6589,5,25.5,9,0,1,2,30,64,8,0,1
B6781,4,0,34.5,0,2,2,51,58,5,0,1
B6564,5,33,2,0,1,32,91,127,12,4,1
M5268,1,6,29,0,1,9,24,81,7,4,0
M7145,4,4.5,2,28.5,1,14,95,93,7,6,0
C6290,2,4,31,0,1,6,15,31,5,5,0
B6557,3,9.25,9.5,16.5,1,10,39,53,6,4,0
C6835,8,35.5,0,0,2,3,40,47,12,0,1
H9159R,2,36,0,0,1,4,31,1,2,0,1
A6699,4,2,34,0,1,49,149,69,7,4,0
C6678,3,30,0,6,2,2,33,7,3,5,0
D6160,4,1,30,5,1,35,44,26,6,5,1
A6696,3,13,19,4,2,4,26,27,6,4,1
C6907,3,21,10,5.25,1,39,73,25,4,4,0
M5169,4,35.5,1,0,1,8,33,47,5,4,1
10676557,7,25.5,5,6,1,16,63,152,13,7,1
M5184,3,4,14,18.5,1,27,151,249,8,4,1
B6150,4,4,0,32.5,1,2,7,18,5,0,0
C6578,2,1.25,3,33,1,6,73,115,5,8,0
M5256,2,7,30.5,0,1,4,99,125,5,5,1
D6226,5,8.5,27,2,2,56,123,119,8,6,1
B6355,3,18,20,0,1,36,129,34,4,4,1
B6813,3,0,38,0,1,3,24,21,3,4,0
C6269,3,0,31,7,2,5,9,9,4,0,0
C6381,3,2.25,36,0,1,17,59,116,6,0,1
10645438,5,8.5,30,0,1,0,10,38,8,0,0
B6178,2,0,32.5,6,1,10,89,72,3,4,0
A7990,1,0,0,38.5,1,5,38,12,2,4,0
C6654,4,0,32.25,6.5,3,58,120,103,8,0,0
B6608,3,0,27,12,1,12,24,34,6,4,0
H9164R,2,0,39,0,1,2,101,5,2,4,1
D5052,7,12,9,18,1,33,104,109,8,0,1
C6831R,2,0,22,17,1,7,125,16,4,4,1
M7173,2,5.25,3.5,30.5,1,22,73,79,6,5,0
B6659,3,15.75,23.5,0,2,6,23,21,5,5,0
M7152,3,6,5.5,28.25,1,42,256,106,4,5,1
B6229,9,12,12,16,2,5,23,92,20,6,1
A6314,4,5,4,31,1,8,31,62,7,0,0
D6105,4,0,37.5,3,1,6,28,12,5,4,1
A6977,3,39.5,1.5,0,2,0,12,17,4,5,0
C6981,3,0,13,28,1,0,5,7,4,4,0
10803667,2,0,32.5,8.75,1,4,41,22,3,0,1
A6973,2,0,18,23.25,3,8,82,89,7,6,1
A6902,4,42,0,0,2,0,46,36,5,6,0
L5018,6,17,15,10,1,15,57,127,11,6,1
S5469,1,0,31.5,10.5,1,105,290,226,5,4,0
C6543,4,26,14,2,1,6,32,42,5,4,1
10676567,6,35.75,4.5,2,1,38,52,185,13,7,0
B6715,2,12.5,30,0,1,16,49,17,4,6,1
C6244,2,43,0,0,1,15,52,13,3,4,0
A6492,3,7,6,30,1,10,64,66,5,4,0
B6416,3,2.5,40.5,0,1,14,35,50,7,4,0
S5384,1,3.5,32.5,7.5,1,91,153,158,4,0,0
C6456,2,20.5,0,23.5,1,13,38,89,6,5,0
F9677,2,0,0,44,1,0,38,10,2,6,0
C6683,3,0,30,14,1,2,36,39,3,5,1
C6031,4,27,6.5,10.5,2,15,37,89,9,0,0
D6123,5,36.5,8,0,2,12,32,26,5,4,0
B6112,2,0,18.5,26,1,7,88,73,6,8,0
B6533,4,5.25,0,39.25,1,22,74,261,11,6,0
A6933,3,7,30.75,7,2,41,140,83,7,7,0
B6544,3,3,42,0,1,78,184,129,7,4,0
B6917,2,0,0,45,2,0,4,14,4,5,0
K7474,4,45.25,0,0,1,9,46,37,6,7,0
B6602,3,2,39,5,1,35,102,39,5,0,0
B6014,2,0,46.25,0,1,14,81,88,5,7,0
C6387,4,0,0,46.5,1,0,21,33,6,6,0
B6413,5,12,20,15,1,6,21,20,5,6,0
B6623,4,8,0.5,38.5,1,48,79,272,11,6,0
D5188,4,5,20,22,1,61,136,125,9,0,0
C6275,5,24.5,15.5,7,1,34,30,65,9,8,1
B6679,3,24,15,8,2,7,51,18,3,0,0
A6893,3,3,44.5,0,1,1,56,67,4,4,0
A6800,4,0,45,2.5,1,5,30,56,7,9,1
A6560,5,23.5,22,2,1,106,326,215,9,0,0
M9138,1,8.5,29.5,9.5,1,19,24,80,9,4,1
D6143,8,0,0,48,1,5,39,83,14,4,1
10803775,2,0,48,0,2,4,43,23,4,4,1
B6886,5,10.25,15.75,22,1,38,77,263,13,0,1
B6989,3,0,0,48,2,1,15,29,6,4,0
D6187,2,0,11,37,2,2,38,19,5,4,0
A6624,5,13,16,19,1,19,69,102,9,4,0
M8126,3,3,34.75,10.5,3,4,60,104,6,4,0
B6030,5,3.5,45,0,1,1,15,26,7,5,0
D5066,2,0,1,48,2,10,44,30,3,0,1
C5145,8,0,32.5,17,1,33,174,478,22,0,0
C6744,4,0,42.5,7,1,37,87,46,6,7,0
C6566,4,9,0,41,1,16,31,76,9,6,0
A6250,8,12,10,28,1,23,69,197,12,4,1
10805091,5,47,3,0,1,7,200,127,5,10,1
D6244,4,0,25,25,1,6,26,45,6,4,0
C6962,4,10,20.5,20.25,1,8,18,39,8,4,0
C6926,6,41.5,9.5,0,2,30,44,102,12,4,1
10804563,2,0,51,0,2,1,116,17,2,5,1
M9136,1,16.25,34.75,0.25,1,12,78,122,7,4,1
A6811,6,3.5,18.25,29.5,2,19,32,159,12,4,1
C5833,3,13.5,0,38,1,26,90,49,4,0,1
C6266,5,0,41.5,10,1,8,73,139,12,5,1
D6369,5,12,0,40,1,14,181,125,8,4,0
C6357,4,0,0,52,1,14,126,69,6,7,0
C6960,4,0,9,43,1,19,37,94,10,5,0
B6093,5,9.25,0,43,1,9,29,134,11,0,0
S5637,1,0,23,29.25,1,0,29,48,7,4,0
M5151,2,3,49.5,0,1,9,30,44,4,5,0
K7489,6,11.5,5.5,36,1,24,82,140,10,5,0
10804890,5,0,18,35.25,1,31,100,70,9,0,1
B6560,2,30,24,0,1,2,28,9,2,0,1
D6159,4,1.5,29,23.5,1,4,26,19,5,4,1
B6513,4,2,20.5,32,1,15,38,55,9,4,0
C6824,5,7.5,40,7.25,1,17,44,79,9,4,0
B6118,3,16,24,15,2,5,61,33,5,4,0
A6419,3,3.5,0,52,2,13,52,96,5,6,0
D6121,4,29,26.75,0,1,0,23,106,10,6,0
D6289,5,1,5.5,49.5,2,30,62,47,9,5,0
C6486,2,0,56,0,3,0,50,28,4,0,0
B6447,4,0.5,30.5,25,1,0,14,36,7,6,0
C6667,4,24.25,28,4,2,8,38,44,8,8,0
10804420,2,0,53,3.5,1,98,155,169,9,4,1
10804893,2,0,57.5,0,1,31,139,42,4,7,0
A6249,6,8,16.5,33,1,13,42,143,11,0,1
C5898,4,32.75,8.5,16.5,1,28,123,272,10,0,1
A6942,2,0,35,23,1,18,18,20,6,6,0
M8122,3,10,28.75,19.5,4,4,30,103,11,6,0
B6015,3,59,0,0,2,5,81,45,4,8,0
B6845,4,12.5,46.5,0,1,27,109,105,6,4,0
C6000,5,0,6,53,1,8,15,34,7,4,0
A6438,4,23,0,36,1,9,34,60,9,0,1
B6070,3,0.75,0,59.25,2,0,4,15,6,4,0
B6964,3,23,12,25,1,0,8,7,4,4,0
C6602,5,10,5,45,1,17,21,68,11,4,0
D6211,7,56.5,4,0,1,30,30,48,8,4,1
D6027,3,2.25,11,47.25,1,15,40,127,8,6,0
B6434,5,8.5,40.5,12,1,4,33,116,10,6,0
D6035,2,55,6,0,2,1,35,20,3,5,0
