,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
0,C6355,4,16.0,290.5,113.5,0.0380952380952381,0.6916666666666667,0.2702380952380952,1,149,252,517,13,9,1
1,C6441,5,947.5,549.0,24.0,0.623150279513318,0.36106543900032884,0.015784281486353174,2,152,210,172,15,0,1
2,10803922,3,51.5,767.5,45.0,0.05960648148148148,0.8883101851851852,0.052083333333333336,3,200,335,512,10,4,0
3,10805002,4,21.5,34.25,63.0,0.18105263157894738,0.28842105263157897,0.5305263157894737,1,100,421,278,8,5,1
4,10803810,9,567.0,166.0,183.0,0.618995633187773,0.1812227074235808,0.19978165938864628,2,440,272,541,21,0,1
5,M5285,4,240.0,24.25,40.0,0.7888249794576828,0.07970419063270337,0.1314708299096138,2,174,181,342,18,5,0
6,C6568,4,4.5,5.75,71.75,0.054878048780487805,0.0701219512195122,0.875,1,89,161,315,11,9,0
7,10804680,5,98.0,142.0,26.0,0.3684210526315789,0.5338345864661654,0.09774436090225563,1,191,282,206,15,9,1
8,C6652,6,31.5,490.5,327.0,0.037102473498233215,0.5777385159010601,0.38515901060070673,1,281,246,415,19,8,1
9,10804660,6,333.0,1068.0,221.0,0.20530209617755857,0.6584463625154131,0.13625154130702835,2,239,218,267,18,12,1
10,C6863,9,124.5,77.0,418.5,0.20080645161290323,0.12419354838709677,0.675,1,127,165,465,22,0,1
11,10804129,1,2.75,0.0,0.0,1.0,0.0,0.0,1,28,233,188,5,5,1
12,10804749,7,710.5,960.0,175.0,0.38499051747493906,0.52018423191547,0.09482525060959089,2,465,284,487,25,12,1
13,C6924,5,171.5,1518.5,472.5,0.07930635838150289,0.7021965317919076,0.2184971098265896,1,86,150,191,13,0,1
14,10804115,5,160.5,954.25,509.75,0.09879963065558633,0.587411511234226,0.31378885811018775,2,86,169,243,13,9,1
15,D6028,2,124.75,28.0,0.0,0.8166939443535188,0.18330605564648117,0.0,1,60,131,62,5,5,0
16,10805262,5,109.0,56.0,1321.0,0.07335127860026917,0.03768506056527591,0.8889636608344549,1,376,578,678,19,4,0
17,10804632,6,40.5,349.25,9.0,0.10156739811912226,0.8758620689655172,0.0225705329153605,2,232,167,181,15,11,0
18,10805028,7,2.0,951.75,208.75,0.0017204301075268817,0.8187096774193549,0.17956989247311828,1,674,480,545,24,8,1
19,D6125,7,844.0,430.5,616.0,0.4464427400158688,0.22771753504363926,0.32583972494049196,1,316,177,429,31,10,1
20,D6133,3,0.0,0.0,29.0,0.0,0.0,1.0,1,21,131,60,6,5,0
21,D6140,7,602.25,1059.0,20.0,0.35821561338289964,0.6298884758364313,0.011895910780669145,1,180,157,242,14,5,1
22,10804710,6,734.0,676.0,172.5,0.46382306477093205,0.42717219589257505,0.10900473933649289,1,217,224,460,18,6,1
23,D6164,5,54.0,127.0,83.0,0.20454545454545456,0.4810606060606061,0.3143939393939394,1,73,90,74,9,11,0
24,10805252,13,7114.75,7973.25,11606.0,0.2665299318198846,0.29869071701505956,0.43477935116505584,3,2128,792,3060,94,11,1
25,10803573,3,37.0,201.5,195.5,0.08525345622119816,0.4642857142857143,0.4504608294930876,2,273,287,277,17,4,0
26,S5677,2,6.0,84.25,1.0,0.06575342465753424,0.9232876712328767,0.010958904109589041,2,13,117,187,9,4,1
27,10804812,10,1762.5,1789.0,1197.75,0.37111122808864555,0.37669105648260254,0.2521977154287519,5,1789,482,2096,80,8,1
28,M5298,7,73.5,233.0,71.75,0.19431592861863847,0.6159947124917383,0.18968935888962327,1,199,157,278,23,5,0
29,10804854,5,58.5,72.5,6.0,0.42700729927007297,0.5291970802919708,0.043795620437956206,1,59,84,72,10,5,0
30,D6286,3,57.0,20.0,79.0,0.36538461538461536,0.1282051282051282,0.5064102564102564,2,29,58,103,9,7,0
31,D6305,6,199.25,84.75,4.0,0.6918402777777778,0.2942708333333333,0.013888888888888888,1,89,67,100,13,4,1
32,D6300,6,33.5,151.0,492.0,0.04951958610495196,0.22320768662232077,0.7272727272727273,1,125,94,352,23,7,1
33,D6316,9,109.5,329.0,333.0,0.14193130265716136,0.42644199611147116,0.4316267012313675,4,151,146,396,28,10,0
34,D6327,9,302.5,278.0,239.5,0.36890243902439024,0.33902439024390246,0.2920731707317073,3,95,61,168,22,7,1
35,10804865,5,107.0,22.75,87.5,0.49252013808975836,0.1047180667433832,0.40276179516685845,4,111,147,171,10,5,0
36,10803758,6,710.75,2005.0,196.0,0.24409719241006267,0.6885893363097794,0.06731347128015798,1,263,106,520,37,8,1
37,10803765,2,0.0,12.75,7.5,0.0,0.6296296296296297,0.37037037037037035,2,6,71,75,3,8,1
38,10803996,5,210.0,0.0,129.75,0.6181015452538632,0.0,0.3818984547461369,3,114,293,164,9,6,1
39,10803780,7,190.75,290.0,887.0,0.139462621093036,0.21202705172728933,0.6485103271796746,1,316,363,527,20,5,0
